chain,token,recipient,amount,transactionHash,address
avax,0xc677c31AD31F73A5290f5ef067F8CEF8d301e45c,0x6E346B1277e545c5F4A9BB602A220B34581D068B,228,cad72f1e7c9375cce3129319ef05b63b063523d4cb2a6a10ad42a1da18f440cd,0x2849A1F9e4700BEe779232396FD803cdcA7d0cde
avax,0xc677c31AD31F73A5290f5ef067F8CEF8d301e45c,0x6E346B1277e545c5F4A9BB602A220B34581D068B,715,f977637a4d69118fbf9477408705368d9182fab6a39ce0e517a7bb248504640d,0x2849A1F9e4700BEe779232396FD803cdcA7d0cde
avax,0x0773b81e0524447784CcE1F3808fed6AaA156eC8,0x6E346B1277e545c5F4A9BB602A220B34581D068B,198,e6aaad920ac881d19c0822414abc8a38c958965790376ccd69c9bf94fe7714f0,0x2849A1F9e4700BEe779232396FD803cdcA7d0cde
avax,0x0773b81e0524447784CcE1F3808fed6AaA156eC8,0x6E346B1277e545c5F4A9BB602A220B34581D068B,201,c60ef31e7af3970697217f480e468d30f130ec5522123ebc6df39608c47fe307,0x2849A1F9e4700BEe779232396FD803cdcA7d0cde
